sample.no	sample.id	block	square	lane	individual	biological.replica	plant.species	site	plant.compartment	season	treatment.id	treatment	sample.by	od	notes	sample_name	AIM.sample.id	plate	done
20210219NGSeco_C_102	86	B.12.I	B	12	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B12	RC2	David	0.41		B12_I_feb20	20210219NGSeco_C_102	E117	no
20210219NGSeco_C_103	138	B.5.II	B	5	II	3	2	Agave.tequilana	Penjamo	phyllosphere	jul20	B5	PFC	Victor	0.43		B5_II_jul20	20210219NGSeco_C_103	E117	yes
20210219NGSeco_C_104	187	A.9.III	A	9	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	A9	PFC	Victor	1.06		A9_III_nov20	20210219NGSeco_C_104	E117	yes
20210219NGSeco_C_105	225	B.11.II	B	11	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B11	AAP	Victor	1.509		B11_II_nov20	20210219NGSeco_C_105	E117	yes
20210219NGSeco_C_106	131	B.2.I	B	2	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B2	PFCT	Victor	0.567		B2_I_jul20	20210219NGSeco_C_106	E117	yes
20210219NGSeco_C_107	75	B.7.II	B	7	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B7	MOCK	Victor	0.401		B7_II_feb20	20210219NGSeco_C_107	E117	yes
20210219NGSeco_C_108	49	A.9.III	A	9	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	A9	PFC	David	0.464		A9_III_feb20	20210219NGSeco_C_108	E117	yes
20210219NGSeco_C_109	74	B.7.I	B	7	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	B7	MOCK	Victor	0.406	muy poco DNA	B7_I_feb20	20210219NGSeco_C_109	E117	yes
20210219NGSeco_C_110	212	B.7.I	B	7	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	B7	MOCK	Victor	0.979		B7_I_nov20	20210219NGSeco_C_110	E117	yes
20210219NGSeco_C_111	226	B.11.III	B	11	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B11	AAP	Victor	1.185		B11_III_nov20	20210219NGSeco_C_111	E117	yes
20210219NGSeco_C_112	10	A.11.I	A	11	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A11	RC2	Victor	0.372		A11_I_nov19	20210219NGSeco_C_112	E117	yes
20210219NGSeco_C_113	201	B.2.II	B	2	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B2	PFCT	Victor	0.797		B2_II_nov20	20210219NGSeco_C_113	E117	yes
20210219NGSeco_C_114	192	A.11.II	A	11	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	A11	RC2	Victor	0.538		A11_II_nov20	20210219NGSeco_C_114	E117	yes
20210219NGSeco_C_115	168	A.3.II	A	3	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	A3	BC	Victor	0.714		A3_II_nov20	20210219NGSeco_C_115	E117	yes
20210219NGSeco_C_116	236	A.s.19	A	NA	NA	NA	1	NA	Penjamo	soil	nov19	NA	NA	Victor	NA		As_nov19	20210219NGSeco_C_116	E117	yes
20210219NGSeco_C_117	38	A.6.I	A	6	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A6	PFCF	David	0.421		A6_I_feb20	20210219NGSeco_C_117	E117	no
20210219NGSeco_C_118	19	B.10.I	B	10	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B10	CC	Victor	0.451		B10_I_nov19	20210219NGSeco_C_118	E117	no
20210219NGSeco_C_119	87	B.12.II	B	12	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	B12	RC2	David	0.617		B12_II_feb20	20210219NGSeco_C_119	E117	yes
20210219NGSeco_C_120	199	B.1.III	B	1	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	B1	RC3	Victor	0.968		B1_III_nov20	20210219NGSeco_C_120	E117	yes
20210219NGSeco_C_121	25	C.15.I	C	15	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	C15	MOCK	Victor	0.313		C15_I_nov19	20210219NGSeco_C_121	E117	no
20210219NGSeco_C_122	196	A.12.III	A	12	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	A12	CC	Victor	1.195		A12_III_nov20	20210219NGSeco_C_122	E117	yes
20210219NGSeco_C_123	33	A.4.II	A	4	II	2	2	Agave.tequilana	Penjamo	phyllosphere	feb20	A4	RC1	David	0.635		A4_II_feb20	20210219NGSeco_C_123	E117	yes
20210219NGSeco_C_124	2	A.3.I	A	3	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	A3	BC	Victor	0.487		A3_I_nov19	20210219NGSeco_C_124	E117	yes
20210219NGSeco_C_125	12	B.1.I	B	1	I	1	1	Agave.tequilana	Penjamo	phyllosphere	nov19	B1	RC3	Victor	0.721		B1_I_nov19	20210219NGSeco_C_125	E117	yes
20210219NGSeco_C_126	128	B.1.I	B	1	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B1	RC3	Victor	0.443		B1_I_jul20	20210219NGSeco_C_126	E117	no
20210219NGSeco_C_127	169	A.3.III	A	3	III	4	3	Agave.tequilana	Penjamo	phyllosphere	nov20	A3	BC	Victor	0.958		A3_III_nov20	20210219NGSeco_C_127	E117	yes
20210219NGSeco_C_128	224	B.11.I	B	11	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	B11	AAP	Victor	1.025		B11_I_nov20	20210219NGSeco_C_128	E117	yes
20210219NGSeco_C_129	58	A.12.III	A	12	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	A12	CC	Victor	0.423		A12_III_feb20	20210219NGSeco_C_129	E117	no
20210219NGSeco_C_130	67	B.4.III	B	4	III	2	3	Agave.tequilana	Penjamo	phyllosphere	feb20	B4	RC1	David	0.396		B4_III_feb20	20210219NGSeco_C_130	E117	no
20210219NGSeco_C_131	155	B.12.I	B	12	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B12	RC2	David	0.463		B12_I_jul20	20210219NGSeco_C_131	E117	no
20210219NGSeco_C_132	182	A.8.I	A	8	I	4	1	Agave.tequilana	Penjamo	phyllosphere	nov20	A8	RC3	Victor	0.544		A8_I_nov20	20210219NGSeco_C_132	E117	no
20210219NGSeco_C_133	26	A.2.I	A	2	I	2	1	Agave.tequilana	Penjamo	phyllosphere	feb20	A2	PFCS	Victor	0.728		A2_I_feb20	20210219NGSeco_C_133	E117	no
20210219NGSeco_C_134	116	A.9.I	A	9	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	A9	PFC	Victor	0.489		A9_I_jul20	20210219NGSeco_C_134	E117	yes
20210219NGSeco_C_135	146	B.9.I	B	9	I	3	1	Agave.tequilana	Penjamo	phyllosphere	jul20	B9	PFCF	Victor	0.368		B9_I_jul20	20210219NGSeco_C_135	E117	yes
20210219NGSeco_C_136	130	B.1.III	B	1	III	3	3	Agave.tequilana	Penjamo	phyllosphere	jul20	B1	RC3	Victor	0.483		B1_III_jul20	20210219NGSeco_C_136	E117	yes
20210219NGSeco_C_137	234	B.14.II	B	14	II	4	2	Agave.tequilana	Penjamo	phyllosphere	nov20	B14	MOCK	Victor	0.701		B14_II_nov20	20210219NGSeco_C_137	E117	yes
